show_id,title,director,rating,type,date_added,release_year,description
s6433,The Happytime Murders,Brian Henson,R,Movie,2020-12-01,2018,"In an LA where puppets and humans coexist, a down-on-his-luck detective teams with his ex-partner to nab a killer targeting the cast of an old TV show."
s6434,The Hard Way,Keoni Waxman,TV-MA,Movie,2019-03-05,2019,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge."
s6435,The Hateful Eight,Quentin Tarantino,R,Movie,2017-10-25,2015,"Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers."
s6437,The Hater,Jan Komasa,TV-MA,Movie,2020-07-29,2020,A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.
s6438,The Hatred,Michael G. Kehoe,R,Movie,2017-12-11,2017,Four young women head to a country house for an idyllic weekend retreat. But what lies in store for them is far from the dreamy getaway they imagined.
s6442,The Haunting of Molly Hartley,Mickey Liddell,PG-13,Movie,2018-10-04,2008,"A troubled teenage girl hopes to start fresh at a new school, but the horrifying truth about her past is destined to catch up with her."
s6443,The Healer,Paco Arango,TV-14,Movie,2020-06-01,2017,"A handyman who has hit rock bottom agrees to live with his distant uncle, who insists that his ability to fix things extends beyond the repair shop."
s6445,The Heartbreak Club,"Charles Gozali, Bagus Bramanti",TV-14,Movie,2021-01-14,2020,"Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot."
s6446,The Heartbreak Kid,"Bobby Farrelly, Peter Farrelly",R,Movie,2020-05-01,2007,"Ben Stiller stars as a newlywed who marries a dreamy woman, only to learn on their honeymoon that she''s a total nightmare."
s6448,The Help,Tate Taylor,PG-13,Movie,2020-06-01,2011,"A young, white writer stirs up the status quo in 1960s Mississippi by interviewing Black housemaids and bringing their stories to the masses."
s6449,The Heretics,Chad Archibald,TV-MA,Movie,2019-09-04,2017,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
s6450,The Heroes of Evil,Zoe Berriatúa,TV-MA,Movie,2016-06-01,2015,"Three teenage misfits find camaraderie in sex, violence and petty crime. But what starts as a lark soon threatens to damage them beyond repair."
s6451,The Heyday of the Insensitive Bastards,"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White",TV-MA,Movie,2018-02-26,2017,An all-star cast brings to life the short stories of author Robert Boswell in this anthology series of vignettes set in modern-day America.
s6452,The Highwaymen,John Lee Hancock,R,Movie,2019-03-29,2019,Two steely former Texas Rangers are tasked with tracking and killing infamous criminals Bonnie and Clyde in this crime drama based on real events.
s6453,The History of Future Folk,"John Mitchell, Jeremy Kipp Walker",TV-14,Movie,2020-12-23,2012,An alien ordered to colonize Earth abandons his mission when he hears music for the first time and is determined to save his adopted planet.
s6454,The Hockey Girls,"Kiko Cruz Claverol, Patricia Font",TV-MA,TV Show,2019-09-20,2019,"The passionate members of a girls'' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
s6455,The Holiday Calendar,Bradley Walsh,TV-G,Movie,2018-11-02,2018,A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future – and pointing her toward love.
