show_id,actor_id,genre_id,country_id
s2,1,1,1
s5527,1,1,1
s2,2,1,1
s2,3,1,1
s2,4,1,1
s2,5,1,1
s2,6,1,1
s5158,19,1,1
s5158,21,1,1
s2042,312,1,1
s2042,401,1,1
s6690,402,1,1
s667,458,1,1
s4255,694,1,1
s4255,825,1,1
s6785,1135,1,1
s6785,1150,1,1
s2224,1187,1,1
s2224,1192,1,1
s667,1365,1,1
s5882,1407,1,1
s6690,1425,1,1
s293,1710,1,1
s293,1711,1,1
s293,1712,1,1
s293,1713,1,1
s293,1714,1,1
s293,1715,1,1
s3024,2295,1,1
s5491,2299,1,1
s2276,2971,1,1
s2224,3036,1,1
s6785,3249,1,1
s667,3404,1,1
s667,3405,1,1
s2042,3405,1,1
s7691,3405,1,1
s667,3406,1,1
s667,3407,1,1
s667,3408,1,1
s667,3409,1,1
s667,3410,1,1
s667,3411,1,1
s667,3412,1,1
s5882,3626,1,1
s5882,3628,1,1
s773,3878,1,1
s7096,3878,1,1
s773,3879,1,1
s6215,3879,1,1
s773,3880,1,1
s773,3881,1,1
s773,3882,1,1
s773,3883,1,1
s773,3884,1,1
s773,3885,1,1
s773,3886,1,1
s827,4091,1,1
s827,4092,1,1
s827,4093,1,1
s827,4094,1,1
s827,4095,1,1
s827,4096,1,1
s827,4097,1,1
s827,4098,1,1
s827,4099,1,1
s827,4100,1,1
s4750,4116,1,1
s6785,4716,1,1
s7691,4718,1,1
s3723,4731,1,1
s2224,4810,1,1
s6215,4819,1,1
s2042,4998,1,1
s2276,5278,1,1
s1577,5487,1,1
s3024,5488,1,1
s4493,5488,1,1
s7405,5488,1,1
s1577,6692,1,1
s1577,6693,1,1
s1577,6694,1,1
s6749,6694,1,1
s1577,6695,1,1
s1577,6696,1,1
s1577,6697,1,1
s1577,6698,1,1
s1577,6699,1,1
s1577,6700,1,1
s1577,6701,1,1
s1577,6702,1,1
s2030,6702,1,1
s1577,6703,1,1
s1577,6704,1,1
s1577,6705,1,1
s1577,6706,1,1
s1577,6707,1,1
s1577,6708,1,1
s1577,6709,1,1
s1577,6710,1,1
s1577,6711,1,1
s1577,6712,1,1
s5491,6833,1,1
s6690,6833,1,1
s6215,7324,1,1
s7691,7324,1,1
s1954,7981,1,1
s2042,7981,1,1
s7096,7981,1,1
s1954,7982,1,1
s1954,7983,1,1
s1954,7984,1,1
s1954,7985,1,1
s5527,7985,1,1
s1954,7986,1,1
s1954,7987,1,1
s1954,7988,1,1
s1954,7989,1,1
s1954,7990,1,1
s1954,7991,1,1
s1954,7992,1,1
s1966,7997,1,1
s1966,7998,1,1
s1966,7999,1,1
s1966,8000,1,1
s1966,8001,1,1
s1966,8002,1,1
s1966,8003,1,1
s4750,8051,1,1
s2030,8216,1,1
s6749,8216,1,1
s2030,8217,1,1
s2030,8218,1,1
s2030,8219,1,1
s4255,8219,1,1
s5527,8219,1,1
s2030,8220,1,1
s2030,8221,1,1
s2030,8222,1,1
s2030,8223,1,1
s2030,8224,1,1
s4819,8224,1,1
s2042,8251,1,1
s2042,8252,1,1
s2042,8253,1,1
s2042,8254,1,1
s2042,8255,1,1
s2042,8256,1,1
s2042,8257,1,1
s6215,8274,1,1
s4750,8277,1,1
s6215,8277,1,1
s2224,8325,1,1
s2224,8775,1,1
s2224,8776,1,1
s2224,8777,1,1
s2224,8778,1,1
s2224,8779,1,1
s2224,8780,1,1
s2224,8781,1,1
s2224,8782,1,1
s2276,8965,1,1
s2276,8966,1,1
s2276,8967,1,1
s2276,8968,1,1
s2276,8969,1,1
s2276,8970,1,1
s2276,8971,1,1
s2276,8972,1,1
s4750,10079,1,1
s7096,10106,1,1
s5882,10199,1,1
s6690,10374,1,1
s3024,10781,1,1
s2926,11046,1,1
s2926,11047,1,1
s2926,11048,1,1
